Final Link,ISO2,Visibility ,Status,Source,country,title,notes,topic,country_code,region,license,Contact point name,Contact point email,release_date,start_date,end_date,group
energydata.info/dataset/angola-global-electrification-platform-gep,ao,Private,Complete,https://electrifynow.energydata.info/explore/ao-2,Angola,Angola - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,AGO,MNA,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/burkina-faso-global-electrification-platform-gep,bf,Private,Complete,https://electrifynow.energydata.info/explore/bf-2,Burkina Faso,Burkina Faso - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,BFA,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/burundi-global-electrification-platform-gep,bi,Private,Complete,https://electrifynow.energydata.info/explore/bi-2,Burundi,Burundi - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,BDI,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/benin-global-electrification-platform-gep,bj,Private,Complete,https://electrifynow.energydata.info/explore/bj-2,Benin,Benin - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,BEN,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/botswana-global-electrification-platform-gep,bw,Private,Complete,https://electrifynow.energydata.info/explore/bw-2,Botswana,Botswana - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,BWA,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/democratic-republic-of-congo-global-electrification-platform-gep,cd,Private,Complete,https://electrifynow.energydata.info/explore/cd-2,Democratic Republic of Congo,Democratic Republic of Congo - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,COD,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/central-african-republic-global-electrification-platform-gep,cf,Private,Complete,https://electrifynow.energydata.info/explore/cf-2,Central African Republic,Central African Republic - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,CAF,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/congo-global-electrification-platform-gep,cg,Private,Complete,https://electrifynow.energydata.info/explore/cg-2,Congo,Congo - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,COG,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/cameroon-global-electrification-platform-gep,cm,Private,Complete,https://electrifynow.energydata.info/explore/cm-2,Cameroon,Cameroon - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,CMR,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
energydata.info/dataset/djibouti-global-electrification-platform-gep,dj,Private,Complete,https://electrifynow.energydata.info/explore/dj-2,Djibouti,Djibouti - Global Electrification Platform (GEP),"The Global Electrification Platform (GEP) is a multi-phase project led by the World Bank to standardize and simplify the use of geospatial tools for least-cost electrification planning. The GEP provides a high-level overview of the technology mix (grid and off-grid) required to achieve universal access by 2030. It focuses on the countries with access rates below 90 percent and the 50 countries with the highest population deficit, with an intermediated investment prospectus for 2025. The results of the model indicate the least-cost investment requirements based on publicly available information on demand and existing infrastructure.",Energy access; Policies and Plans,DJI,AFR,Creative Commons Attribution 4.0,World Bank Geospatial Team,gost@worldbank.org,2019,2019,2030,GEP
